position;name;cheke;perfomance;yearofprod;cpusocket;cpucore;numofcores,numofthreads;basefreq;turbofreq;cachel1;cachel2;cachel3;graphics;memorycontroller;pciecontroller;lithography;tdp;cpucategory
1;AMD Ryzen Threadripper PRO 7995WX;;93156.04;2023;Socket sTR5;96 / 192;96 / 192;2500 MHz;5100 MHz;6144;98304;393216;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
2;AMD Ryzen Threadripper PRO 7985WX;;81668.05;2023;Socket sTR5;64 / 128;64 / 128;3200 MHz;5100 MHz;4096;65536;262144;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
3;AMD Ryzen Threadripper 7980X;;81297.05;2023;Socket sTR5;64 / 128;64 / 128;3200 MHz;5100 MHz;4096;65536;262144;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
4;AMD EPYC 9684X;;72744;2023;Socket SP5;96 / 192;96 / 192;2550 MHz;3700 MHz;96 x 32 + 96 x 32;96 x 1024;1179648;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;400 W;серверный
5;AMD EPYC 9654;;70461.33;2022;Socket SP5;96 / 192;96 / 192;2400 MHz;3550 MHz;96 x 32 + 96 x 32;96 x 1024;393216;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
6;AMD EPYC 9654P;;68629.79;2022;Socket SP5;96 / 192;96 / 192;2400 MHz;3700 MHz;96 x 32 + 96 x 32;96 x 1024;393216;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
7;AMD EPYC 9554;;67236.1;2022;Socket SP5;64 / 128;64 / 128;3100 MHz;3750 MHz;64 x 32 + 64 x 32;64 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
8;AMD EPYC 9554P;;66165.84;2022;Socket SP5;64 / 128;64 / 128;3100 MHz;3750 MHz;64 x 32 + 64 x 32;64 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
9;AMD EPYC 9634;;65013.06;2022;Socket SP5;84 / 168;84 / 168;2250 MHz;3700 MHz;84 x 32 + 84 x 32;84 x 1024;393216;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;290 W;серверный
10;AMD EPYC 9474F;;63241.74;2022;Socket SP5;48 / 96;48 / 96;3600 MHz;4100 MHz;48 x 32 + 48 x 32;48 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
11;AMD EPYC 9754;;58925.17;2023;Socket SP5;128 / 256;128 / 256;2250 MHz;3100 MHz;128 x 32 + 128 x 32;128 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;360 W;серверный
12;AMD Ryzen Threadripper 7970X;;58634.86;2023;Socket sTR5;32 / 64;32 / 64;4000 MHz;5300 MHz;2048;32768;131072;нет;4 chann.DDR5-5200;PCI Express 5.092 lines;5 nm;350 W;десктопный
13;AMD EPYC 9454P;;57843.46;2022;Socket SP5;48 / 96;48 / 96;2750 MHz;3800 MHz;48 x 32 + 48 x 32;48 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;290 W;серверный
14;AMD Ryzen Threadripper PRO 7975WX;;57067.72;2023;Socket sTR5;32 / 64;32 / 64;4000 MHz;5300 MHz;2048;32768;131072;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
15;AMD Ryzen Threadripper PRO 5995WX;;56128.15;2022;Socket sWRX8;64 / 128;64 / 128;2700 MHz;4500 MHz;4096;32768;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;десктопный
16;Intel Xeon Platinum 8470;;55867.73;2023;LGA4677;52 / 104;52 / 104;2000 MHz;3800 MHz;52x32 + 52x48;52x2048;107520;нет;8 chann.DDR5-4800;PCI Express 5.080 lines;10 nm;350 W;серверный
17;AMD EPYC 7773X;;55103.67;2021;Socket SP3;64 / 128;64 / 128;2200 MHz;3500 MHz;64x32 + 64x32;64x512;786432;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;серверный
18;Intel Xeon Max 9480;;54356.78;2023;LGA4677;56 / 112;56 / 112;1900 MHz;3500 MHz;56x32 + 56x48;56x2048;115200;нет;8 chann.DDR5-4400;PCI Express 5.080 lines;10 nm;350 W;серверный
19;AMD EPYC 9534;;53432.33;2022;Socket SP5;64 / 128;64 / 128;2450 MHz;3700 MHz;64 x 32 + 64 x 32;64 x 1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;280 W;серверный
20;Intel Xeon w9-3495X;;51598.18;2023;LGA4677;56 / 112;56 / 112;1900 MHz;4800 MHz;56x32 + 56x48;56x2048;107520;нет;8 chann.DDR5-4800;PCI Express 5.0112 lines;10 nm;420 W;десктопный
21;AMD Ryzen Threadripper 3990X;;51220.08;2020;Socket sTRX4;64 / 128;64 / 128;2900 MHz;4300 MHz;64x32 + 64x32;64x512;262144;нет;4 chann.DDR4-3200;PCI Express 4.064 lines;7 nm;280 W;десктопный
22;AMD EPYC 7763;;51017.16;2021;Socket SP3;64 / 128;64 / 128;2450 MHz;3500 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;серверный
23;AMD Ryzen Threadripper PRO 3995WX;;50450.51;2020;Socket sTRX4;64 / 128;64 / 128;2700 MHz;4200 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;280 W;десктопный
24;AMD Ryzen Threadripper 7960X;;50186.01;2023;Socket sTR5;24 / 48;24 / 48;4200 MHz;5300 MHz;1536;24576;131072;нет;4 chann.DDR5-5200;PCI Express 5.092 lines;5 nm;350 W;десктопный
25;AMD EPYC 7V13;;49916.19;2021;Socket SP3;64 / 128;64 / 128;2500 MHz;3700 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
26;AMD EPYC 7663;;49435.62;2021;Socket SP3;56 / 112;56 / 112;2000 MHz;3500 MHz;56x32 + 56x32;56x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;240 W;серверный
27;AMD Ryzen Threadripper PRO 7965WX;;49294.02;2023;Socket sTR5;24 / 48;24 / 48;4200 MHz;5300 MHz;1536;24576;131072;нет;8 chann.DDR5-5200;PCI Express 5.0148 lines;5 nm;350 W;десктопный
28;AMD EPYC 7713P;;48906.15;2021;Socket SP3;64 / 128;64 / 128;2000 MHz;3675 MHz;64x32 + 64x32;64x512;262144;нет;8 chann.DDR4-3200;PCI Express 4.0128 lines;7 nm;225 W;серверный
29;AMD EPYC 9374F;;48078.01;2022;Socket SP5;32 / 64;32 / 64;3850 MHz;4100 MHz;32x32 + 32x32;32x1024;262144;нет;12 chann.DDR5-4800;PCI Express 5.0128 lines;5 nm;320 W;серверный
